Date,Time,Day of Week,Category,Details,Location,Press Pool,Daily Summary,Factba.se URL,,
2/24/2026,9:00:00,Tuesday,President Schedule,The President participates in Executive Time,The White House,Closed Press,,,Array,
2/24/2026,11:36:00,Tuesday,Pool Report Schedule,White House Press Office: Lunch lid until 12:35 PM,The White House,Out-of-Town Travel Pool,,,,
2/24/2026,12:30:00,Tuesday,President Schedule,The President participates in the Annual State of the Union Luncheon,Blue Room,Closed Press,,,,
2/24/2026,21:00:00,Tuesday,President Schedule,The President delivers the State of the Union Address,U.S. Capitol,In-Town Travel Pool,,,,
2/23/2026,10:00:00,Monday,President Schedule,The President participates in Angel Families Remembrance Ceremony,East Room,Pre-Credentialed Media,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-angel-families-remembrance-ceremony-february-23-2026/,,
2/23/2026,11:00:00,Monday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
2/23/2026,11:46:00,Monday,Pool Report Schedule,White House Press Office: Lunch lid until 12:45 PM,The White House,Out-of-Town Travel Pool,,,,
2/23/2026,13:00:00,Monday,President Schedule,The President participates in Executive Time,Oval Office,Closed Press,,,,
2/23/2026,18:00:00,Monday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
2/22/2026,8:00:00,Sunday,President Schedule,The President participates in Executive Time,The White House,Closed Press,,,Array,
2/22/2026,11:38:00,Sunday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
2/22/2026,11:45:00,Sunday,Pool Report Schedule,The President calls to congratulate the US Men's Olympic Hockey team [Time is approximate],The White House,,,,,
2/21/2026,8:00:00,Saturday,President Schedule,The President participates in Executive Time,The White House,Closed Press,,,Array,
2/21/2026,12:00:01,Saturday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
2/21/2026,12:30:00,Saturday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
2/21/2026,13:00:00,Saturday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
2/21/2026,18:45:00,Saturday,President Schedule,The President and First Lady participate in a Governors Dinner,East Room,In-Town Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-governors-dinner-white-house-february-21-2026/,,
2/21/2026,20:56:00,Saturday,Pool Report Schedule,The President and First Lady watch a performance by violinist Rusanda Panfili at a governors' dinner,East Room,In-Town Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-post-violin-performance-dinner-february-21-2026/,,
2/21/2026,21:24:00,Saturday,Pool Report Schedule,White House Press office: Full lid called,The White House,In-Town Pool,,,,
